headword,gloss,definition,phonemic,phonetic,morph_type,word_class,etymology,notes
kelku,"home","home; house","/ˈkɛl.ku/","[ˈkɛl.ku]",root,noun,,
rey,"live","to live; to be alive","/ˈɾɛj/","[ˈɾɛj]",root,verb,,
ngay,true,true,"/ˈŋaj/","[ˈŋaj]",root,adjective,,
taron,hunt,to hunt,"/ˈta.ɾon/","[ˈta.ɾon]",root,verb,,
Kelutral,Hometree,"Hometree, the spiritual and physical home of the Omaticaya","/ˈkɛl.ut.ɾal/","[ˈkɛl.ut.ɾal]",compound,noun,"kelku + utral","Compound meaning literally 'home-tree'."
tìrey,life,"life; being alive","/ˈtɪ.ɾɛj/","[ˈtɪ.ɾɛj]",derived,noun,"tì- + rey","Abstract noun derived from rey 'live, be alive'."
tìngay,truth,truth,"/ˈtɪ.ŋaj/","[ˈtɪ.ŋaj]",derived,noun,"tì- + ngay","Abstract noun derived from ngay 'true'."
taronyu,hunter,"hunter; one who hunts","/ta.ˈɾon.ju/","[ta.ˈɾon.ju]",derived,noun,"taron + -yu","Agent noun formed from taron 'hunt'."
tìsrew,dance,dance,"/ˈtɪ.sɾɛw/","[ˈtɪ.sɾɛw]",derived,noun,"tì- + srew","Nominalisation of srew 'dance'."
nìwin,quickly,"quickly; fast","/ˈnɪ.win/","[ˈnɪ.win]",derived,adverb,"nì- + win","Adverb formed from win 'fast'."
letrrtrr,"everyday","everyday; ordinary","/lɛˈtr̩.tr̩/","[lɛˈtr̩.tr̩]",reduplicated,adjective,"le- + trr + reduplication","Contains the adjectival prefix le- and reduplication."
tì-,"ABSTR","prefix used to form abstract nouns","/tɪ/","[tɪ]",affix,,,"Derivational prefix; e.g. tì- + rey → tìrey."
nì-,"ADV","prefix used to form adverbs","/nɪ/","[nɪ]",affix,,,"Derivational prefix; e.g. nì- + win → nìwin."
le-,"ADJ","prefix used to form adjectives","/lɛ/","[lɛ]",affix,,,"Derivational prefix."
-yu,A,"suffix used to form an agent noun denoting a person who performs an action","/ju/","[ju]",affix,,,"Derivational suffix; e.g. taron + -yu → taronyu."
